timestamp,predicted_price
2024-10-05 00:00:00,23.793228
2024-10-05 01:00:00,28.886982
2024-10-05 02:00:00,34.26173
2024-10-05 03:00:00,38.313297
2024-10-05 04:00:00,40.468124
2024-10-05 05:00:00,40.848663
2024-10-05 06:00:00,39.978405
2024-10-05 07:00:00,38.502747
2024-10-05 08:00:00,36.89985
2024-10-05 09:00:00,35.502544
2024-10-05 10:00:00,34.4619
2024-10-05 11:00:00,33.79925
2024-10-05 12:00:00,33.412506
2024-10-05 13:00:00,33.18209
2024-10-05 14:00:00,33.01588
2024-10-05 15:00:00,32.83939
2024-10-05 16:00:00,32.61729
2024-10-05 17:00:00,32.33125
2024-10-05 18:00:00,31.994173
2024-10-05 19:00:00,31.606237
2024-10-05 20:00:00,31.169794
2024-10-05 21:00:00,30.772831
2024-10-05 22:00:00,30.423862
2024-10-05 23:00:00,30.128544
2024-10-06 00:00:00,29.88196
2024-10-06 01:00:00,29.664034
2024-10-06 02:00:00,29.457766
2024-10-06 03:00:00,29.250088
2024-10-06 04:00:00,29.034632
2024-10-06 05:00:00,28.811104
2024-10-06 06:00:00,28.583292
2024-10-06 07:00:00,28.356625
2024-10-06 08:00:00,28.136076
2024-10-06 09:00:00,27.925055
2024-10-06 10:00:00,27.725027
2024-10-06 11:00:00,27.535778
2024-10-06 12:00:00,27.355984
2024-10-06 13:00:00,27.183952
2024-10-06 14:00:00,27.018116
2024-10-06 15:00:00,26.857294
2024-10-06 16:00:00,26.700863
2024-10-06 17:00:00,26.548576
2024-10-06 18:00:00,26.400528
2024-10-06 19:00:00,26.256903
2024-10-06 20:00:00,26.117916
2024-10-06 21:00:00,25.983702
2024-10-06 22:00:00,25.85425
2024-10-06 23:00:00,25.729397
2024-10-07 00:00:00,25.608927
2024-10-07 01:00:00,25.492561
2024-10-07 02:00:00,25.380041
2024-10-07 03:00:00,25.271156
2024-10-07 04:00:00,25.16573
2024-10-07 05:00:00,25.063639
2024-10-07 06:00:00,24.964834
2024-10-07 07:00:00,24.869238
2024-10-07 08:00:00,24.776768
2024-10-07 09:00:00,24.687391
2024-10-07 10:00:00,24.600988
2024-10-07 11:00:00,24.517477
2024-10-07 12:00:00,24.43674
2024-10-07 13:00:00,24.358675
2024-10-07 14:00:00,24.28317
2024-10-07 15:00:00,24.210144
2024-10-07 16:00:00,24.139498
2024-10-07 17:00:00,24.07117
2024-10-07 18:00:00,24.005083
2024-10-07 19:00:00,23.941149
2024-10-07 20:00:00,23.879328
2024-10-07 21:00:00,23.819529
2024-10-07 22:00:00,23.761702
2024-10-07 23:00:00,23.70577
2024-10-08 00:00:00,23.65168
2024-10-08 01:00:00,23.599367
2024-10-08 02:00:00,23.54878
2024-10-08 03:00:00,23.499842
2024-10-08 04:00:00,23.452492
2024-10-08 05:00:00,23.40671
2024-10-08 06:00:00,23.362423
2024-10-08 07:00:00,23.319578
2024-10-08 08:00:00,23.278154
2024-10-08 09:00:00,23.238085
2024-10-08 10:00:00,23.199331
2024-10-08 11:00:00,23.161837
2024-10-08 12:00:00,23.125576
2024-10-08 13:00:00,23.090488
2024-10-08 14:00:00,23.056562
2024-10-08 15:00:00,23.023756
2024-10-08 16:00:00,22.99203
2024-10-08 17:00:00,22.961336
2024-10-08 18:00:00,22.931644
2024-10-08 19:00:00,22.902916
2024-10-08 20:00:00,22.875132
2024-10-08 21:00:00,22.848257
2024-10-08 22:00:00,22.822268
2024-10-08 23:00:00,22.797112
2024-10-09 00:00:00,22.772795
2024-10-09 01:00:00,22.749264
2024-10-09 02:00:00,22.726507
2024-10-09 03:00:00,22.704502
2024-10-09 04:00:00,22.683212
2024-10-09 05:00:00,22.662632
2024-10-09 06:00:00,22.642715
2024-10-09 07:00:00,22.62345
2024-10-09 08:00:00,22.604805
2024-10-09 09:00:00,22.586782
2024-10-09 10:00:00,22.569342
2024-10-09 11:00:00,22.55247
2024-10-09 12:00:00,22.536142
2024-10-09 13:00:00,22.520372
2024-10-09 14:00:00,22.505102
2024-10-09 15:00:00,22.490324
2024-10-09 16:00:00,22.47604
2024-10-09 17:00:00,22.462234
2024-10-09 18:00:00,22.44886
2024-10-09 19:00:00,22.435925
2024-10-09 20:00:00,22.423422
2024-10-09 21:00:00,22.411325
2024-10-09 22:00:00,22.399622
2024-10-09 23:00:00,22.388298
2024-10-10 00:00:00,22.377352
2024-10-10 01:00:00,22.366762
2024-10-10 02:00:00,22.35652
2024-10-10 03:00:00,22.3466
2024-10-10 04:00:00,22.337002
2024-10-10 05:00:00,22.327726
2024-10-10 06:00:00,22.31875
2024-10-10 07:00:00,22.310074
2024-10-10 08:00:00,22.301678
2024-10-10 09:00:00,22.293552
2024-10-10 10:00:00,22.285698
2024-10-10 11:00:00,22.278107
2024-10-10 12:00:00,22.270756
2024-10-10 13:00:00,22.26365
2024-10-10 14:00:00,22.25678
2024-10-10 15:00:00,22.250122
2024-10-10 16:00:00,22.243687
2024-10-10 17:00:00,22.237463
2024-10-10 18:00:00,22.231443
2024-10-10 19:00:00,22.225613
2024-10-10 20:00:00,22.21998
2024-10-10 21:00:00,22.214525
2024-10-10 22:00:00,22.209257
2024-10-10 23:00:00,22.204153
2024-10-11 00:00:00,22.199219
2024-10-11 01:00:00,22.194448
2024-10-11 02:00:00,22.189833
2024-10-11 03:00:00,22.185368
2024-10-11 04:00:00,22.181044
2024-10-11 05:00:00,22.176878
2024-10-11 06:00:00,22.172836
2024-10-11 07:00:00,22.168919
2024-10-11 08:00:00,22.16514
2024-10-11 09:00:00,22.161478
2024-10-11 10:00:00,22.157936
2024-10-11 11:00:00,22.154514
2024-10-11 12:00:00,22.151196
2024-10-11 13:00:00,22.14798
2024-10-11 14:00:00,22.144876
2024-10-11 15:00:00,22.141878
2024-10-11 16:00:00,22.138987
2024-10-11 17:00:00,22.1362
2024-10-11 18:00:00,22.133472
2024-10-11 19:00:00,22.130838
2024-10-11 20:00:00,22.128292
2024-10-11 21:00:00,22.125834
2024-10-11 22:00:00,22.123468
2024-10-11 23:00:00,22.121176
2024-10-12 00:00:00,22.118958
2024-10-12 01:00:00,22.11681
2024-10-12 02:00:00,22.114729
2024-10-12 03:00:00,22.112717
2024-10-12 04:00:00,22.110762
2024-10-12 05:00:00,22.108873
2024-10-12 06:00:00,22.107048
2024-10-12 07:00:00,22.105295
2024-10-12 08:00:00,22.1036
2024-10-12 09:00:00,22.101957
2024-10-12 10:00:00,22.100367
2024-10-12 11:00:00,22.098818
2024-10-12 12:00:00,22.097322
2024-10-12 13:00:00,22.095873
2024-10-12 14:00:00,22.094477
2024-10-12 15:00:00,22.09312
2024-10-12 16:00:00,22.0918
2024-10-12 17:00:00,22.090534
2024-10-12 18:00:00,22.089314
2024-10-12 19:00:00,22.088129
2024-10-12 20:00:00,22.086985
2024-10-12 21:00:00,22.085888
2024-10-12 22:00:00,22.084808
2024-10-12 23:00:00,22.083776
2024-10-13 00:00:00,22.082773
2024-10-13 01:00:00,22.081804
2024-10-13 02:00:00,22.080866
2024-10-13 03:00:00,22.079956
2024-10-13 04:00:00,22.079077
2024-10-13 05:00:00,22.078232
2024-10-13 06:00:00,22.07741
2024-10-13 07:00:00,22.076624
2024-10-13 08:00:00,22.075855
2024-10-13 09:00:00,22.075117
2024-10-13 10:00:00,22.074402
2024-10-13 11:00:00,22.073698
2024-10-13 12:00:00,22.073023
2024-10-13 13:00:00,22.072365
2024-10-13 14:00:00,22.071732
2024-10-13 15:00:00,22.071115
2024-10-13 16:00:00,22.070524
2024-10-13 17:00:00,22.069948
2024-10-13 18:00:00,22.069397
2024-10-13 19:00:00,22.068863
2024-10-13 20:00:00,22.06836
2024-10-13 21:00:00,22.06786
2024-10-13 22:00:00,22.067379
2024-10-13 23:00:00,22.06691
2024-10-14 00:00:00,22.066458
2024-10-14 01:00:00,22.066011
2024-10-14 02:00:00,22.065596
2024-10-14 03:00:00,22.065178
2024-10-14 04:00:00,22.064798
2024-10-14 05:00:00,22.064411
2024-10-14 06:00:00,22.064047
2024-10-14 07:00:00,22.063677
2024-10-14 08:00:00,22.063337
2024-10-14 09:00:00,22.062996
2024-10-14 10:00:00,22.062674
2024-10-14 11:00:00,22.062363
2024-10-14 12:00:00,22.062057
2024-10-14 13:00:00,22.061764
2024-10-14 14:00:00,22.06149
2024-10-14 15:00:00,22.061213
2024-10-14 16:00:00,22.06095
2024-10-14 17:00:00,22.060692
2024-10-14 18:00:00,22.06045
2024-10-14 19:00:00,22.06021
2024-10-14 20:00:00,22.059986
2024-10-14 21:00:00,22.059757
2024-10-14 22:00:00,22.059536
2024-10-14 23:00:00,22.059324
2024-10-15 00:00:00,22.059118
2024-10-15 01:00:00,22.058931
2024-10-15 02:00:00,22.058731
2024-10-15 03:00:00,22.058561
2024-10-15 04:00:00,22.05838
2024-10-15 05:00:00,22.058216
2024-10-15 06:00:00,22.058044
2024-10-15 07:00:00,22.05788
2024-10-15 08:00:00,22.057728
2024-10-15 09:00:00,22.05758
2024-10-15 10:00:00,22.057428
2024-10-15 11:00:00,22.057281
2024-10-15 12:00:00,22.057148
2024-10-15 13:00:00,22.057013
2024-10-15 14:00:00,22.056889
2024-10-15 15:00:00,22.056767
2024-10-15 16:00:00,22.056643
2024-10-15 17:00:00,22.056538
2024-10-15 18:00:00,22.056425
2024-10-15 19:00:00,22.056314
2024-10-15 20:00:00,22.056215
2024-10-15 21:00:00,22.056114
2024-10-15 22:00:00,22.056015
2024-10-15 23:00:00,22.055927
2024-10-16 00:00:00,22.055828
2024-10-16 01:00:00,22.05574
2024-10-16 02:00:00,22.05565
2024-10-16 03:00:00,22.055574
2024-10-16 04:00:00,22.055492
2024-10-16 05:00:00,22.05541
2024-10-16 06:00:00,22.055323
2024-10-16 07:00:00,22.05524
2024-10-16 08:00:00,22.055164
2024-10-16 09:00:00,22.0551
2024-10-16 10:00:00,22.055035
2024-10-16 11:00:00,22.054989
2024-10-16 12:00:00,22.05493
2024-10-16 13:00:00,22.054865
2024-10-16 14:00:00,22.0548
2024-10-16 15:00:00,22.054754
2024-10-16 16:00:00,22.05469
2024-10-16 17:00:00,22.05463
2024-10-16 18:00:00,22.054585
2024-10-16 19:00:00,22.054537
2024-10-16 20:00:00,22.05449
2024-10-16 21:00:00,22.054438
2024-10-16 22:00:00,22.054401
2024-10-16 23:00:00,22.054356
2024-10-17 00:00:00,22.054325
2024-10-17 01:00:00,22.054296
2024-10-17 02:00:00,22.05426
2024-10-17 03:00:00,22.054214
2024-10-17 04:00:00,22.054173
2024-10-17 05:00:00,22.054138
2024-10-17 06:00:00,22.054108
2024-10-17 07:00:00,22.054073
2024-10-17 08:00:00,22.054039
2024-10-17 09:00:00,22.054003
2024-10-17 10:00:00,22.053974
2024-10-17 11:00:00,22.053944
2024-10-17 12:00:00,22.053926
2024-10-17 13:00:00,22.053898
2024-10-17 14:00:00,22.053862
2024-10-17 15:00:00,22.053839
2024-10-17 16:00:00,22.053822
2024-10-17 17:00:00,22.053797
2024-10-17 18:00:00,22.053774
2024-10-17 19:00:00,22.053762
2024-10-17 20:00:00,22.05374
2024-10-17 21:00:00,22.053715
2024-10-17 22:00:00,22.053692
2024-10-17 23:00:00,22.053669
2024-10-18 00:00:00,22.053638
2024-10-18 01:00:00,22.053616
2024-10-18 02:00:00,22.053604
2024-10-18 03:00:00,22.053587
2024-10-18 04:00:00,22.053556
2024-10-18 05:00:00,22.05354
2024-10-18 06:00:00,22.053528
2024-10-18 07:00:00,22.053522
2024-10-18 08:00:00,22.05351
2024-10-18 09:00:00,22.053493
2024-10-18 10:00:00,22.05348
2024-10-18 11:00:00,22.053474
2024-10-18 12:00:00,22.053463
2024-10-18 13:00:00,22.053457
2024-10-18 14:00:00,22.053457
2024-10-18 15:00:00,22.053452
2024-10-18 16:00:00,22.053452
2024-10-18 17:00:00,22.05344
2024-10-18 18:00:00,22.053423
2024-10-18 19:00:00,22.053404
2024-10-18 20:00:00,22.053375
2024-10-18 21:00:00,22.053364
2024-10-18 22:00:00,22.053352
2024-10-18 23:00:00,22.053347
